N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
10,0.0,0.025180599999999997,baja,baja,GbajaHbaja
10,5.0,0.0309674,baja,media,GbajaHmedia
10,11.0,0.0307194,baja,alta,GbajaHalta
10,0.0,0.038283700000000004,media,baja,GmediaHbaja
10,0.0,0.05001099999999999,media,media,GmediaHmedia
10,2.0,0.0514513,media,alta,GmediaHalta
10,0.0,0.0507347,alta,baja,GaltaHbaja
10,0.0,0.06028940000000001,alta,media,GaltaHmedia
10,0.0,0.07333239999999999,alta,alta,GaltaHalta
11,0.0,0.0277219,baja,baja,GbajaHbaja
11,6.0,0.0326852,baja,media,GbajaHmedia
11,15.0,0.032301100000000006,baja,alta,GbajaHalta
11,0.0,0.0409171,media,baja,GmediaHbaja
11,0.0,0.052607499999999995,media,media,GmediaHmedia
11,3.0,0.05598700000000001,media,alta,GmediaHalta
11,0.0,0.0525307,alta,baja,GaltaHbaja
11,0.0,0.07090290000000002,alta,media,GaltaHmedia
11,0.0,0.0871143,alta,alta,GaltaHalta
12,0.0,0.030567,baja,baja,GbajaHbaja
12,5.0,0.0409818,baja,media,GbajaHmedia
12,15.0,0.0652863,baja,alta,GbajaHalta
12,0.0,0.0486824,media,baja,GmediaHbaja
12,0.0,0.07388020000000001,media,media,GmediaHmedia
12,3.0,0.07323280000000001,media,alta,GmediaHalta
12,0.0,0.07271430000000001,alta,baja,GaltaHbaja
12,0.0,0.096077,alta,media,GaltaHmedia
12,0.0,0.1098971,alta,alta,GaltaHalta
13,0.0,0.036368899999999996,baja,baja,GbajaHbaja
13,8.0,0.045526399999999995,baja,media,GbajaHmedia
13,20.0,0.0464376,baja,alta,GbajaHalta
13,0.0,0.0627852,media,baja,GmediaHbaja
13,0.0,0.10020909999999998,media,media,GmediaHmedia
13,3.0,0.0977296,media,alta,GmediaHalta
13,0.0,0.0774348,alta,baja,GaltaHbaja
13,0.0,0.1103838,alta,media,GaltaHmedia
13,0.0,0.17306159999999998,alta,alta,GaltaHalta
14,0.0,0.0394115,baja,baja,GbajaHbaja
14,10.0,0.05107999999999999,baja,media,GbajaHmedia
