N,Impacto,Tiempo,densidadG,densidadH,nombreExperimento
10,0.0,12.227539999999998,baja,baja,GbajaHbaja
10,5.0,14.06277,baja,media,GbajaHmedia
10,11.0,14.811310000000002,baja,alta,GbajaHalta
10,0.0,36.12544,media,baja,GmediaHbaja
10,0.0,42.266589999999994,media,media,GmediaHmedia
10,2.0,44.846430000000005,media,alta,GmediaHalta
10,0.0,75.49762,alta,baja,GaltaHbaja
10,0.0,84.73209999999999,alta,media,GaltaHmedia
10,0.0,91.12577999999999,alta,alta,GaltaHalta
11,0.0,11.73253,baja,baja,GbajaHbaja
11,6.0,13.52034,baja,media,GbajaHmedia
11,15.0,14.492500000000001,baja,alta,GbajaHalta
11,0.0,34.023219999999995,media,baja,GmediaHbaja
11,0.0,37.810900000000004,media,media,GmediaHmedia
11,3.0,42.71759,media,alta,GmediaHalta
11,0.0,67.12987000000001,alta,baja,GaltaHbaja
11,0.0,75.78611000000001,alta,media,GaltaHmedia
11,0.0,81.16139000000001,alta,alta,GaltaHalta
12,0.0,18.42579,baja,baja,GbajaHbaja
12,5.0,21.555109999999996,baja,media,GbajaHmedia
12,15.0,25.575730000000004,baja,alta,GbajaHalta
12,0.0,49.34722,media,baja,GmediaHbaja
12,0.0,56.611149999999995,media,media,GmediaHmedia
12,3.0,61.691370000000006,media,alta,GmediaHalta
12,0.0,84.69895,alta,baja,GaltaHbaja
12,0.0,101.32694000000001,alta,media,GaltaHmedia
12,0.0,104.22289999999998,alta,alta,GaltaHalta
13,0.0,16.93168,baja,baja,GbajaHbaja
13,8.0,20.2675,baja,media,GbajaHmedia
13,20.0,22.188630000000003,baja,alta,GbajaHalta
13,0.0,62.33689999999999,media,baja,GmediaHbaja
13,0.0,74.86568000000001,media,media,GmediaHmedia
13,3.0,87.69309000000001,media,alta,GmediaHalta
13,0.0,107.56950000000002,alta,baja,GaltaHbaja
13,0.0,131.7396,alta,media,GaltaHmedia
13,0.0,128.8866,alta,alta,GaltaHalta
14,0.0,28.86805,baja,baja,GbajaHbaja
14,10.0,35.246849999999995,baja,media,GbajaHmedia
14,24.0,42.04786,baja,alta,GbajaHalta
14,0.0,96.95518,media,baja,GmediaHbaja
14,0.0,118.8298,media,media,GmediaHmedia
14,4.0,137.28300000000002,media,alta,GmediaHalta
14,0.0,172.93120000000005,alta,baja,GaltaHbaja
14,0.0,186.9636,alta,media,GaltaHmedia
14,0.0,209.6609,alta,alta,GaltaHalta
15,0.0,33.02003,baja,baja,GbajaHbaja
